title,description,author,date
Pakistan rolls out red carpet for Saudi prince,Imran Khan needs Saudi money to stave off an economic bail-out - but this is not a one-way relationship.,By Abid Hussain,2/17/2019 23:08
Family acquitted over Italy woman's killing,"Sana Cheema, 26, died in April 2018 while visiting her family in Pakistan.",,2/15/2019 20:40
Indian minister visits wounded police,,,2/15/2019 20:18
Pakistan: What is it like being a woman here?,,,2/15/2019 19:56
India will 'completely isolate' Pakistan,A minister vows to cut Pakistan off from the world as India mourns 46 troops killed in Kashmir.,,2/15/2019 19:47
What is Jaish-e-Mohammad?,Pakistan-based militant group Jaish-e-Mohammad claimed the Pulwama attack which killed 46 soldiers.,,2/15/2019 17:00
Viewpoint: How far might India go to 'punish' Pakistan?,India's government is talking tough after a car bombing killed 46 Indian troops. How far could tensions escalate?,,2/15/2019 16:23
Deadliest Kashmir militant attack on troops,At least 40 Indian paramilitary police die as their convoy is bombed on the Srinagar-Jammu road.,,2/15/2019 1:33
Amir to rejoin Essex for T20 Blast,Pakistan left-arm fast bowler Mohammad Amir will rejoin Essex for part of this summer's T20 Blast campaign.,,2/8/2019 22:07
A protest Pakistan wants to hide from the world,A human rights movement is highlighting abuses by the military and the media isn't covering the story.,,2/7/2019 5:52
Relic of the Raj who schooled a nation,"Yorkshire-born Major Geoffrey Langlands arrived in Pakistan in its first days, and never left.",By Flora Drury,2/1/2019 19:39
On-the-run rapist arrested in Pakistan,Choudhry Ikhalaq Hussain was convicted in 2016 of raping and sexually abusing a child in Rochdale.,,1/31/2019 19:53
Pakistan will not 'subdue' us,,,1/30/2019 21:19
Asia Bibi's Blasphemy Acquittal Upheld By Pakistan Court,,,1/29/2019 20:30
Asia Bibi blasphemy acquittal upheld,The Pakistani Christian spent eight years on death row before her conviction was overturned.,,1/29/2019 16:26
Sarfraz banned over racist comment,Pakistan captain Sarfraz Ahmed is suspended for four matches for making a racist remark towards South Africa's Andile Phehlukwayo.,,1/27/2019 16:07
The long road to justice for student stabbed 23 times,"Khadija Siddiqui's attacker was sensationally acquitted in Pakistan last year, but she didn't give up.",By M Ilyas Khan,1/27/2019 5:07
'Beauty pageants rebuilt my life',,,1/27/2019 5:06
How a 9-year-old exposed police for killing his family,"Police said they shot dead four violent IS-linked terrorists, but then a young boy tore holes in their story.",By M Ilyas Khan,1/23/2019 5:24
What does Malala do for fun?,,,1/14/2019 5:04
Cricket diplomacy,,,1/11/2019 23:28
Pakistan's disappearing bees,,,1/11/2019 19:40
Northants sign Pakistan's Ashraf for T20,Pakistan all-rounder Faheem Ashraf will join Northants Steelbacks for the whole of this summer's T20 Blast campaign.,,1/11/2019 16:45
The 'superwoman' midwife of the mountains,,,1/7/2019 5:12
"Honour, Murder and her Selfies",,,1/5/2019 6:18
Pakistani politician shot dead in Karachi,Syed Ali Raza Abidi was killed near his home on Christmas Day in what police call a targeted attack.,,12/26/2018 15:54
Sharif sent back to jail for corruption,The Pakistani ex-PM is given seven years after a fresh conviction for corruption.,,12/24/2018 19:51
Kashmir's violent year,,,12/21/2018 5:24
'Amorous' Indian home from Pakistan jail,An Indian man accused of spying in Pakistan after illegally entering to 'pursue love' returns home.,,12/18/2018 18:01
BA to resume flights to Pakistan,,,12/18/2018 17:32
BA to resume flights to Pakistan,Flights will restart more than 10 years after it halted services following a major hotel bombing.,,12/18/2018 17:28
Hearing the stories of Bangladesh's 'birangona' women,,,12/18/2018 9:34
Pakistan's first female blind cricket team,,,12/14/2018 5:05
Tiny Iron: I want Wrestling to set a new trend in Pakistan,,,12/10/2018 18:18
Acquitted of blasphemy and living in fear,"No blasphemy convict has been executed in Pakistan, but dozens have reportedly been killed by mobs.",By Secunder Kermani,12/9/2018 6:38
What was the Partition of India?,"In 1947, India became independent from Britain and split into two countries.",,12/6/2018 15:52
Babbu Maan says Punjabi film industry could rival Bollywood,,,12/4/2018 17:25
India and Pakistan have 'huge' trade potential,,,12/1/2018 0:19
Travelling the Grand Truck Road in Punjab,,,11/30/2018 19:35
Living in divided Punjab,,,11/30/2018 17:55
Businessman and philanthropist dies,Dr Nas Khan went from being a teenager unable to speak English to a prominent businessman with an OBE.,,11/29/2018 20:29
A bridge to one of Sikhism's holiest places,"The ""Kartarpur corridor"" is a rare instance of co-operation between Pakistan and India.",By Secunder Kermani,11/29/2018 13:43
May questioned over Asia Bibi asylum case,"Theresa May is asked if she has ""personally intervened"" in the Pakistani Christian's case.",,11/28/2018 21:47
The Pakistan poet who dared talk of female desire,"Fahmida Riaz was a feminist, progressive writer who broke taboos that have returned to modern Pakistan.",,11/27/2018 23:32
Hardliners held ahead of blasphemy rally,Supporters of a hard-line cleric planned new protests over the acquittal of a Christian woman.,,11/24/2018 21:44
Gunmen try to storm Chinese consulate,"Two policemen were among four killed when militants attacked the building in Karachi, in Pakistan.",,11/23/2018 22:03
India pilgrims gain path to Pakistan shrine,The neighbours agree to build a new border entry point and road that will allow Sikhs to visit.,,11/22/2018 22:10
Shock over raid on ‘island of freedom’,"A raid on the Karachi Press Club breaches a decades-old truce with authorities, writes M Ilyas Khan.",By M Ilyas Khan,11/19/2018 9:00
Canada in talks over Asia Bibi asylum,Canada is one of several nations that has offered the Pakistani Christian woman potential asylum.,,11/12/2018 21:55
How my tweet about WW2 started a debate,,,11/10/2018 9:46
Pakistan frees Christian woman Asia Bibi,"It was initially unclear whether she had left the country, but officials say she is still in Pakistan.",,11/8/2018 15:25
'Khadi' poppy marks India's WW1 servicemen,,,11/7/2018 5:27
Apology for Pakistan Khan 'begging' typo,Pakistan state TV is ridiculed after a speech broadcast from China's capital Beijing shows a typo.,,11/5/2018 21:41
Blasphemy case husband pleads for asylum,"Asia Bibi, a Christian acquitted of blasphemy, is in great danger in Pakistan, her husband says.",,11/4/2018 2:27
'Father of Taliban' buried in Pakistan,Large crowds attend the funeral of Maulana Sami ul-Haq amid fears his death could trigger violence.,,11/3/2018 21:20
Blasphemy case lawyer flees Pakistan,Saif Mulook left for Europe days after getting Christian Asia Bibi acquitted of blasphemy.,,11/3/2018 15:56
Pakistan deal to end blasphemy case unrest,Mass protests were triggered by this week's acquittal of a Christian woman accused of blasphemy.,,11/3/2018 12:48
India and Pakistan have 'huge' trade potential,,,12/1/2018 0:19
Travelling the Grand Truck Road in Punjab,,,11/30/2018 19:35
Living in divided Punjab,,,11/30/2018 17:55
Businessman and philanthropist dies,Dr Nas Khan went from being a teenager unable to speak English to a prominent businessman with an OBE.,,11/29/2018 20:29
A bridge to one of Sikhism's holiest places,"The ""Kartarpur corridor"" is a rare instance of co-operation between Pakistan and India.",By Secunder Kermani,11/29/2018 13:43
May questioned over Asia Bibi asylum case,"Theresa May is asked if she has ""personally intervened"" in the Pakistani Christian's case.",,11/28/2018 21:47
The Pakistan poet who dared talk of female desire,"Fahmida Riaz was a feminist, progressive writer who broke taboos that have returned to modern Pakistan.",,11/27/2018 23:32
Hardliners held ahead of blasphemy rally,Supporters of a hard-line cleric planned new protests over the acquittal of a Christian woman.,,11/24/2018 21:44
Gunmen try to storm Chinese consulate,"Two policemen were among four killed when militants attacked the building in Karachi, in Pakistan.",,11/23/2018 22:03
India pilgrims gain path to Pakistan shrine,The neighbours agree to build a new border entry point and road that will allow Sikhs to visit.,,11/22/2018 22:10
Shock over raid on ‘island of freedom’,"A raid on the Karachi Press Club breaches a decades-old truce with authorities, writes M Ilyas Khan.",By M Ilyas Khan,11/19/2018 9:00
Canada in talks over Asia Bibi asylum,Canada is one of several nations that has offered the Pakistani Christian woman potential asylum.,,11/12/2018 21:55
How my tweet about WW2 started a debate,,,11/10/2018 9:46
Pakistan frees Christian woman Asia Bibi,"It was initially unclear whether she had left the country, but officials say she is still in Pakistan.",,11/8/2018 15:25
'Khadi' poppy marks India's WW1 servicemen,,,11/7/2018 5:27
Apology for Pakistan Khan 'begging' typo,Pakistan state TV is ridiculed after a speech broadcast from China's capital Beijing shows a typo.,,11/5/2018 21:41
Blasphemy case husband pleads for asylum,"Asia Bibi, a Christian acquitted of blasphemy, is in great danger in Pakistan, her husband says.",,11/4/2018 2:27
'Father of Taliban' buried in Pakistan,Large crowds attend the funeral of Maulana Sami ul-Haq amid fears his death could trigger violence.,,11/3/2018 21:20
Blasphemy case lawyer flees Pakistan,Saif Mulook left for Europe days after getting Christian Asia Bibi acquitted of blasphemy.,,11/3/2018 15:56
Pakistan deal to end blasphemy case unrest,Mass protests were triggered by this week's acquittal of a Christian woman accused of blasphemy.,,11/3/2018 12:48
